Keyword,Competition,Search Volume Estimate,Banks,Rank_Position,Page_Tier,Keyword_Rank,Category,CTR Estimate,Volume Tier,Row Number
access bank mobile app,Low,5500,Access Bank,3,Page 1 - Top 3,Page 1 - Top 3 (Prime Visibility),Digital Banking,0.1,High Volume (3000+),1
access bank transfer code,Low,55000,Access Bank,1,Page 1 - Top 3,Page 1 - Top 3 (Prime Visibility),Transfers & Payments,0.3,High Volume (3000+),2
account maintenance fee nigeria,,55,Access Bank,12,Page 2,Page 2 - Position 11-20 (Weak Visibility),Accounts & Deposits,0.01,Very Low (<500),3
account maintenance fee nigeria,,55,First Bank,8,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Accounts & Deposits,0.05,Very Low (<500),4
account maintenance fee nigeria,,55,GTBank,6,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Accounts & Deposits,0.05,Very Low (<500),5
account maintenance fee nigeria,,55,Sterling Bank,16,Page 2,Page 2 - Position 11-20 (Weak Visibility),Accounts & Deposits,0.01,Very Low (<500),6
account maintenance fee nigeria,,55,UBA,4,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Accounts & Deposits,0.05,Very Low (<500),7
atm withdrawal limit nigeria,Low,55,Access Bank,4,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Cards,0.05,Very Low (<500),8
atm withdrawal limit nigeria,Low,55,First Bank,3,Page 1 - Top 3,Page 1 - Top 3 (Prime Visibility),Cards,0.1,Very Low (<500),9
atm withdrawal limit nigeria,Low,55,GTBank,15,Page 2,Page 2 - Position 11-20 (Weak Visibility),Cards,0.01,Very Low (<500),10
atm withdrawal limit nigeria,Low,55,UBA,1,Page 1 - Top 3,Page 1 - Top 3 (Prime Visibility),Cards,0.3,Very Low (<500),11
bank transfer nigeria,Low,55,First Bank,9,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Transfers & Payments,0.05,Very Low (<500),12
best bank in nigeria,Low,5500,Access Bank,21,Page 3,Page 3 - Position 21-30 (Minimal Visibility),Accounts & Deposits,0.003,High Volume (3000+),13
best bank in nigeria,Low,5500,First Bank,7,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Accounts & Deposits,0.05,High Volume (3000+),14
best bank in nigeria,Low,5500,GTBank,16,Page 2,Page 2 - Position 11-20 (Weak Visibility),Accounts & Deposits,0.01,High Volume (3000+),15
best bank in nigeria,Low,5500,Zenith Bank,4,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Accounts & Deposits,0.05,High Volume (3000+),16
best loan app in nigeria,High,55000,Wema Bank (ALAT),3,Page 1 - Top 3,Page 1 - Top 3 (Prime Visibility),Loans & Credit,0.1,High Volume (3000+),17
